Dealer,Person(s),Phone,Email,Website,Address,SlowFoodLink
Ökoring Handels GmbH,Herr Thomas Börkey-Biermann,08145-9308-93,t.biermann@oekoring.com,http://www.oekoring.com,"Dieselstr. 7 - 9,  82291 Mammendorf, Bayern",https://www.slowfood.de/unterstuetzer/haendler/oekoring_handels_gmbh
Männerkontor - Ehrlich gute Dinge,Maximilian Mayr,(01 71) 1 78 02 35,maximilian.mayr@ehrlich-gute-dinge.de,https://www.maennerkontor.shop/,"Münchener Str. 6 A,  82291 Mammendorf, Bayern",https://www.slowfood.de/unterstuetzer/haendler/maennerkontor_ehrlich_gute_dinge
Dorfladen Farchant UG,Herr Peter Böhmer,08821 - 7321990,info@dorfladen-farchant.de,http://dorfladen-netzwerk.de/2014/06/die-gallier-aus-farchant/,"Bahnhofstraße 5,  82490 Farchant, Bayern",https://www.slowfood.de/unterstuetzer/haendler/dorfladen_farchant_ug
LUKULLIUM - kulinarische Entdeckungen,Herr Andreas von Harsdorf,(0 80 31) 7 97 83 60,info@lukullium.de,http://www.lukullium.de,"Jägerkampstrasse 13,  83059 Kolbermoor, Bayern",https://www.slowfood.de/unterstuetzer/haendler/lukullium_kulinarische_entdeckungen
Weltklasseweine - Michael Pfennigwerth,Herr Michael Pfennigwerth,(0 80 52) 9 56 58 82,info@weltklasseweine.de,http://www.weltklasseweine.de,"Aufhamerstraße 41b,  83229 Aschau, Bayern",https://www.slowfood.de/unterstuetzer/haendler/weltklasseweine_michael_pfennigwerth
Popstahl GbR - Weißheimer u. Weißheimer,Herr Ralf Weißheimer,(0 86 52) 6 55 46 16,info@popstahl.de,http://www.popstahl.de,"Nonntal 8,  83471 Berchtesgaden, Bayern",https://www.slowfood.de/unterstuetzer/haendler/popstahl_gbr_weissheimer_u_weissheimer
machtSINN Wolf & Brenner GbR,Herr Bernhard Wolf und Frau Andrea Brenner,(0172) 8 20 92 62,servus@machtsinn.bayern,http://www.machtSINN.bayern,"Tegernseer Straße 10,  83703 Gmund am Tegernsee, Bayern",https://www.slowfood.de/unterstuetzer/haendler/machtsinn_wolf_brenner_gbr
Ars Vivendi,Frau Marianne Ahnfeldt,0841 - 910963,info@arsvivendi-in.de,http://www.arsvivendi-in.de,"Taschenturmstraße 10,  85049 Ingolstadt, Bayern",https://www.slowfood.de/unterstuetzer/haendler/ars_vivendi
Obstkistl GmbH & CO. KG,Wolfgang Demel,08456 - 97444-21,info@das-obstkistl.de,www.das-obstkistl.de,"Industriestr. 3,  85101 Lenting, Bayern",https://www.slowfood.de/unterstuetzer/haendler/das_obstkistl
Hinterland,Reinhard Fiedler,"
              ",info@aus-dem-hinterland.de,www.aus-dem-hinterland.de,"Untere Hauptstraße 42,  85354 Freising, Bayern",https://www.slowfood.de/unterstuetzer/haendler/hinterland
difiore Buon gusto,Herr Daniel Di Fiore,08091 56 20 950,info@di-fiore.de,http://www.di-fiore.de,"Hauptstr. 45 - 47,  85614  Kirchseeon, Bayern",https://www.slowfood.de/unterstuetzer/haendler/difiore_buon_gusto
TARPA Bioprodukte,Herr Nicolas Korenika,089 - 18 93 48 34,info@tarpa.de,http://www.tarpa.de,"Keferloher-Markt-Straße 19,  85640 Putzbrunn/München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/tarpa_naturprodukte_aus_ungarn
Dragasias Foods,Antonios Dragasias,081028729741,contact@dragasias-foods.com,www.dragasias-foods.com,"Ernst-Heinkel Ring 5-7,  85662 Hohenbrunn, Bayern",https://www.slowfood.de/unterstuetzer/haendler/dragasias-foods
allesOlive Feinkosthandel e.K.,Herr Sebastian Rott,(0 81 31) 3 56 90 98,info@allesOlive.de,https://www.allesolive.de,"Gartenstraße 11,  85757 Karlsfeld, Bayern",https://www.slowfood.de/unterstuetzer/haendler/allesolive_feinkosthandel_ek
Griechenland Spezialitäten VL,0821 - 2620334,"
              ",info@thassos-olivenoel.de,http://www.griechenland-spezialitaeten.de,"Hans-Rollwagen-Straße 11a,  86157 Augsburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/griechenland_spezialitaeten_vl
VIA DEL GUSTO GmbH & Co. KG,Markus Bongartz & Joachim Schoser,(0) 906-7092399,info@viadelgusto.de,http://www.viadelgusto.de,"Dr. Friedrich Drechsler Str. 11,  86609  Donauwörth, Bayern",https://www.slowfood.de/unterstuetzer/haendler/via_del_gusto_gmbh_co_kg
Tartuffli Naturwaren e.K,Peter Glandien,08191 9854226,info@erlesene-kartoffeln.de,http://www.erlesene-kartoffeln.de,"Ammerseestrasse 1a,  86940 Schwifting, Bayern",https://www.slowfood.de/unterstuetzer/haendler/tartuffli
Oliven + Öl Compagnie GmbH,Jötn Niederberger und Martin Mang,08331 - 925320,info@olivencompagnie.de,http://www.olivencompagnie.de,"Auf der Weide 2,  87734 Benningen , Bayern",https://www.slowfood.de/unterstuetzer/haendler/oliven_oel_compagie_gmbh
Das Weinhaus,Markus Angerer,07524-915459,Das_Weinhaus@t-online.de,http://www.weinhaus-waldsee.de,"Ravensburger Str. 10,  88339 Bad Waldsee, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/das_weinhaus
De Sanctis GbR - Feines aus Italien,"Herr Roberto De Sanctis, Herr Franco De Sanctis",07551 - 43 04,franco@de-sanctis.de,http://www.de-sanctis.de,"Rengoldshauser Str. 7,  88662 Überlingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/de_sanctis_gbr
Konditorei Confiserie Popp,Andreas Popp,07551-4532,mail@konditorei-popp.de,http://www.konditorei-popp.de,"Hizlerstr.3,  88662 Überlingen/ Bodensee, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/konditorei_confiserie_popp
Kornmühle e.K:,Julia Unseld,07348 - 6001 (Büro),info@kornmuehle-ulm.de,http://www.kornmuehle-ulm.de,"Herrenkellergasse 8,  89073 Ulm / Donau, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/kornmuehle_ek
Gutes von hier,Herr Fritz Feger,0731-2696564,info@gutesvonhier.de,https://www.gutesvonhier.de,"Herrenkellergasse 9,  89073 Ulm, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/regio_ug_gutes_von_hier
Confis Express GmbH,Alfred Pfersich,0731 - 7 07 91 51,info@pfersich.de,http://www.pfersich.de,"Messerschmittstr. 23,  89231 Neu Ulm, Bayern",https://www.slowfood.de/unterstuetzer/haendler/confis_express_gmbh
Heinz Grimmer Wurstwarenvertriebs GmbH,Geschäftsführerin: Frau Katja Stetter,08224/80453-0,heinz.grimmer@grimmer-wurstwaren-vertrieb.de,http://www.heinzgrimmer.de,"Schnuttenbacher Str. 31,  89362 Offingen, Bayern",https://www.slowfood.de/unterstuetzer/haendler/heinz_grimmer_wurstwarenvertriebs_gmbh
delikatEssen,Frau Romana Schemm,0911 - 2 02 91 32,info@delikatessen-nuernberg.de,http://www.delikatessen-nuernberg.de,"Weinmarkt 14,  90403 Nürnberg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/delikatessen
LA VINERIA,Jürgen Vogt,0911-2878286,"Auststr. 102,  90429 Nürnberg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/la_vineria
Il Nuraghe GmbH - Feinkost & Naturkost,0911 - 21 70 60,"
              ",info@ilnuraghe.com,http://www.ilnuraghe.com,"Boxdorfer Str. 11a,  90765 Fürth, Bayern",https://www.slowfood.de/unterstuetzer/haendler/il_nuraghe_gmbh_feinkost_naturkost
CITY COFFEE Kaffee Service Systeme GmbH,Herr Siegfried Fuchs,0911 30 30 20,s.fuchs@city-coffee.com,http://www.punero.de,"Melli-Beese-Straße 32,  90768 Fürth, Bayern",https://www.slowfood.de/unterstuetzer/haendler/city_coffee_kaffee_service_systeme_gmbh
Panaché - Der europäische Dorfladen ,Frau Christiane Strub ,0173 - 2983937 ,christianestrub@panache.de,http://panache.de,"Judengasse 32,  91781 Weißenburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/panache_der_europaeische_dorfladen
Rehorik GmbH ,Herr Joachim Rehorik,0941 - 51727 ,kaffee@rehorik.de,http://www.rehorik.de,"Am Brixener Hof 6,  93047 Regensburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/rehorik_gmbh
Käse-Wiese ... mit Laib & Seele,Frau Brigitte Griesbeck,0941 - 58 61 46 58,b.griesbeck@kaese-wiese.de,http://www.kaese-wiese.de,"Am Römling 11,  93047 Regensburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/kaese_wiese_mit_laib_seele
Enoteca Italiana,Roland Brunner,0941 - 86507 oder 01,rbrunner@enoteca-italiana.de,http://www.enoteca-italiana.de,"Wassergasse 10,  93059 Regensburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/enoteca_italiana
Spyridoula Kagiaoglou  Revela D - extra virgin olive oil & bio,Frau Spyridoula Kagiaoglou,(0 94 03) 5 65 99 50,info@revelad.de,http://www.spyridoulas.de,"Altdorferstraße 30,  93105 Tegernheim, Bayern",https://www.slowfood.de/unterstuetzer/haendler/spyridoula_kagiaoglou_revela_d
"Weinkontor Sinzing GmbH & Co, KG",Rudolf Zitzelsberger,0941 - 3 07 57 55,info@weinkontor-sinzing.de,http://www.weinkontor-sinzing.de,"Laberstr. 7A,  93161 Sinzing, Bayern",https://www.slowfood.de/unterstuetzer/haendler/weinkontor_sinzing
Bio Feinkost Heubel,Klaus Heubel,0991/ 29101866,info@bio-feinkost-heubel.de,www.bio-feinkost-heubel.de,"Ruselbergstraße 28,  94469 Deggendorf, Bayern",https://www.slowfood.de/unterstuetzer/haendler/bio-feinkost-heubel
Michaelsberger Schnaps und Spezialitätenladen,F. Keilholz/Dr. J. Meier,0951 - 9 57 01 91,mssl@bnv-bamberg.de,http://www.michaelsberger-schnapsladen.de,"Michaelsberg 8b,  96049 Bamberg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/michaelsberger_schnaps_und_spezialitaetenladen
Rot Weiß Rosé,Sebastian Schütz,(09 31) 78 08 59 22,info@rotweissrose.de,https://rotweissrose.com/,"Bürgerbräu-Keller,  Frankfurter Str. 87,  97082 Würzburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/rot_weiss_rose
Leo´s Obstkiste,Peter Straub,09771-2467,leostraub@t-online.de,"Gartenstr. 38,  97616 Bad Neustadt, Bayern",https://www.slowfood.de/unterstuetzer/haendler/leos_obstkiste
Naturkost Erfurt GmbH,Thomas Hölscher,(0) 361 56 5506 800,info@naturkost-erfurt.de,http://www.naturkost-erfurt.de,"Mühlweg 16,  99091  Erfurt, Thüringen",https://www.slowfood.de/unterstuetzer/haendler/naturkost_erfurt_gmbh
Erzeugergemeinschaft Thüringen,Michelle und Sebastian von Kloch-Kornitz,03643-47 90 12,info@erzeugergemeinschaft-thueringen.de,http://www.erzeugergemeinschaft-thueringen.de,"Belvederer Allee 33,  99425 Weimar, Thüringen",https://www.slowfood.de/unterstuetzer/haendler/erzeugergemeinschaft_thueringen
TEMMA - alles isst natürlich,Christiane Speck,0221 - 149 - 5170,info@temma.de,http://www.temma.de,"Stolbergerstr. 90 - 50933 Köln,  außer in: Nordrhein-Westfalen auch in den Bundesländern Hessen und Hamburg",https://www.slowfood.de/unterstuetzer/haendler/bio_konzept_gmbh_temma
